document,document_type,tag
"**1: Introduction to the Asset Module**  
The Asset Module provides a comprehensive suite of tools to manage organizational assets efficiently. It includes the following functionalities:  
1. **Asset Category**: Create and categorize assets for better organization and tracking.  
2. **Asset Management**: Maintain details of each asset, including availability and assignment.  
3. **Asset Distribution**: Track which employees are assigned specific assets and the time frames for usage.  
4. **Asset Reports**: Generate reports on asset assignments and statuses for auditing and tracking purposes.  
5. **Asset Requisition Requests**: Allow employees to request assets and enable administrators to approve or reject these requests.",user_manual,Asset
"**2: Asset Category**  
- **Menu Navigation**: `Employee → Asset → Asset Category`  
- **Purpose**:  
  - Enables administrators to create, organize, and monitor categories for organizational assets.  
  - For example, categories like ""Laptops,"" ""Desks,"" ""Office Chairs,"" or ""Monitors"" can be defined for better asset management.  
- **Features**:  
  - Add new categories by specifying relevant details.  
  - Monitor and modify existing categories as needed.  
- **Use Case**: If an organization purchases new types of assets (e.g., smartphones), admins can create a new category to group these assets efficiently.  
- **Interface Details**:  
  - The interface shows existing categories and an option to add new ones, typically with fields like ""Category Name"" and ""Description.""",user_manual,Asset
"**3: Asset Management**  
- **Menu Navigation**: `Employee → Asset → Asset`  
- **Purpose**:  
  - Provides a centralized system to manage detailed information about each asset.  
  - Ensures admins can track the lifecycle of each asset, its usage, and availability.  
- **Features**:  
  1. **View Asset Details**: Check which assets are assigned to employees or are available.  
  2. **Add New Asset**:  
     - Input fields include:  
       - **Category**: Select the predefined category.  
       - **Model Number**: Enter the asset model.  
       - **Manufacturer**: Specify the manufacturer.  
       - **Purchase Date**: Record when the asset was acquired.  
  3. **Edit/Update Assets**: Modify existing asset details, attach documents, and view historical data for tracking.  
- **Use Case**:  
  - For example, if an employee requests a laptop, the admin can check this module to assign an available laptop and update its status.  
- **Visual References**: The interface may display a table of assets with filters for searching by category, status, or employee.",user_manual,Asset
"**4: Distribute Asset**  
- **Menu Navigation**: `Employee → Asset → Distribute Asset`  
- **Purpose**:  
  - Allows the organization to track the distribution of assets among employees.  
- **Features**:  
  - View which employee has been assigned a specific asset, along with dates of commencement and return.  
  - Update asset distribution records (e.g., extend end dates or reassign assets).  
- **Use Case**:  
  - If an employee's asset assignment period ends, the admin can update the status or reallocate it to another employee.  
- **Actions**:  
  - Admins can modify the application for asset distribution via an ""Edit"" button.  
- **Visual References**: Interfaces typically display assignment details like:  
  - Employee Name  
  - Assigned Asset  
  - Start Date  
  - End Date  ",user_manual,Asset
"**5: Asset Reports**  
- **Menu Navigation**: `Employee → Asset → Asset Report`  
- **Purpose**:  
  - Generate detailed reports about asset assignments, usage, and availability.  
  - These reports can assist in audits, compliance, and organizational planning.  
- **Features**:  
  - Filter assets by date range, employee, or asset category.  
  - Downloadable or printable reports for documentation purposes.  
- **Use Case**:  
  - Admins can generate a report showing all laptops assigned to employees during a specific month to ensure accurate inventory tracking.  
- **Visual References**: The interface highlights options for generating reports, filtering data, and exporting results.",user_manual,Asset
"**6: Asset Requisition Requests**  
- **Menu Navigation**: `Employee → Asset → Asset Requisition Request`  
- **Purpose**:  
  - Streamlines the process for employees to request organizational assets.  
  - Enables admins to manage these requests effectively.  
- **Workflow**:  
  1. Employees submit requests through the system.  
  2. The admin reviews the requests and decides to approve or reject them.  
  3. Once approved, the asset is assigned, and the status is updated.  
- **Features**:  
  - View pending requests in a queue.  
  - Approve or reject requests with comments, if necessary.  
- **Use Case**:  
  - If a team requires additional monitors for a project, team members can submit requests, and admins can process them accordingly.  
- **Visual References**: The interface displays a list of pending requests with actions like ""Approve"" or ""Reject.""",user_manual,Asset
"### **1. Employee Dashboard**
- **Description:** Overview of employee statistics, such as monthly active employees, branch-wise blood group stats, job status distribution, and religious diversity graphs.
- **Use Case:** Enables HR to visualize workforce metrics efficiently.
- **Key Points:** 
  - Monthly active employees.
  - Branch-wise and job-status-wise distributions.
  - Blood group and religious diversity graphs.
",user_manual,Employee
"### **2. Employee Operations**
#### **a. Employee List**
- **Description:** Manage employee details including personal info, contact, education, family, and more.
- **Key Operations:**
  - Add/Edit/Delete employee information.
  - Record NID/SSN, marital status, and employee codes.
  - Maintain addresses with ""same as present address"" options.
- **Subsections:**
  - **Contact:** Store present and permanent addresses.
  - **Family:** Add family member details like name, relationship, and profession.
  - **Education:** Save educational qualifications, CGPA, and institutions.
  - **Employment:** Track previous work experiences.
  - **Supervisor:** Set up reporting hierarchies for approvals.
  - **Documents:** Upload CVs, photos, and other documents.
  - **Language:** Store language proficiencies.
  - **Passport:** Save passport details like issue/expiry dates.
  - **Talent:** Record additional employee talents.
  - **Bank:** Store banking details for salary disbursement.
  - **Hide from Directory:** Option to hide employee details from the app's directory.

#### **b. Award**
- **Description:** Manage and assign awards to employees.
- **Key Details:** Employee name, award type, prize, and relevant documents.

#### **c. Disciplinary Records**
- **Description:** Manage warnings and disciplinary actions.
- **Key Details:** Record action type, date, and remarks.

#### **d. Organogram**
- **Description:** Visualize organizational hierarchy.
- **Key Features:** Branch-wise supervisor relationships.",user_manual,Employee
"### **3. Employee Reports**
#### **a. Employee Position**
- **Description:** Generate reports on employee positions and job levels.
#### **b. Employee Religion and Blood Group**
- **Description:** Generate detailed PDF reports filtered by religion or blood group.
#### **c. Contact Reports**
- **Description:** View employee contact details grouped by department or branch.
#### **d. Template Reports**
- **Description:** Use predefined formats for generating specific reports.
",user_manual,Employee
"### **4. Employee Settings**
#### **a. Division/Department/Unit**
- **Description:** Define and manage organizational divisions and departments.
#### **b. Job Base and Levels**
- **Description:** Manage employment types (e.g., contractual, permanent) and levels (e.g., junior, senior).
#### **c. Designation and Functional Designation**
- **Description:** Set roles and responsibilities at functional levels.
#### **d. Education**
- **Description:** Manage education categories, grades, and institutions.
#### **e. Talent Type**
- **Description:** Record and manage talent categories like performers or athletes.
#### **f. Employee and Document Categories**
- **Description:** Classify employees and their associated documents.
#### **g. Award and Warning Types**
- **Description:** Define types of awards and warnings applicable to employees.",user_manual,Employee
